epoch,batch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
6,483.0,1.0600345,0.625,,,,,
6,484.0,0.98774636,0.6875,,,,,
6,485.0,0.85258317,0.71875,,,,,
6,486.0,0.93743277,0.6875,,,,,
6,487.0,1.3248347,0.5625,,,,,
6,488.0,1.389197,0.5,,,,,
6,489.0,0.944269,0.59375,,,,,
6,490.0,0.85513204,0.75,,,,,
6,491.0,1.3387102,0.53125,,,,,
6,492.0,1.3389199,0.46875,,,,,
6,493.0,1.1409125,0.53125,,,,,
6,494.0,0.93215173,0.71875,,,,,
6,495.0,0.7291029,0.78125,,,,,
6,496.0,0.8918006,0.71875,,,,,
6,497.0,0.92687744,0.71875,,,,,
6,498.0,0.92650557,0.71875,,,,,
6,499.0,0.7399575,0.78125,,,,,
6,500.0,1.0306815,0.65625,,,,,
6,501.0,1.1100842,0.625,,,,,
6,502.0,0.94252646,0.6875,,,,,
6,503.0,1.1955048,0.65625,,,,,
6,504.0,0.9630852,0.65625,,,,,
6,505.0,1.1603302,0.625,,,,,
6,506.0,1.1532489,0.46875,,,,,
6,507.0,0.9343695,0.75,,,,,
6,508.0,1.2635256,0.5625,,,,,
6,509.0,1.272558,0.5625,,,,,
6,510.0,0.8888063,0.625,,,,,
6,511.0,1.1057035,0.59375,,,,,
6,512.0,1.1856899,0.53125,,,,,
6,513.0,1.3219556,0.53125,,,,,
6,514.0,0.941359,0.6875,,,,,
6,515.0,1.1323974,0.71875,,,,,
6,516.0,0.78224653,0.6875,,,,,
6,517.0,1.1425328,0.59375,,,,,
6,518.0,0.8327149,0.65625,,,,,
6,519.0,0.8797783,0.625,,,,,
6,520.0,0.585947,0.8333333333333334,,,,,
6,,,,1.0651872,0.6576271186440678,0.7287887579380987,0.65875,0.6702794951246656
7,521.0,1.1715773,0.65625,,,,,
7,522.0,0.89381087,0.65625,,,,,
7,523.0,1.370454,0.59375,,,,,
7,524.0,1.5184755,0.5625,,,,,
7,525.0,1.0624839,0.6875,,,,,
7,526.0,0.81206036,0.6875,,,,,
7,527.0,1.0113355,0.5625,,,,,
7,528.0,1.2366717,0.5625,,,,,
7,529.0,1.0543799,0.59375,,,,,
7,530.0,1.017442,0.6875,,,,,
7,531.0,0.5932644,0.8125,,,,,
7,532.0,1.1144967,0.625,,,,,
7,533.0,0.62171525,0.78125,,,,,
7,534.0,1.033114,0.625,,,,,
7,535.0,0.9918974,0.65625,,,,,
7,536.0,0.8071976,0.75,,,,,
7,537.0,0.89082813,0.65625,,,,,
7,538.0,0.9780672,0.6875,,,,,
7,539.0,1.0127156,0.65625,,,,,
7,540.0,1.0166984,0.625,,,,,
7,541.0,1.0279002,0.65625,,,,,
7,542.0,1.1282008,0.53125,,,,,
7,543.0,0.86809456,0.6875,,,,,
7,544.0,1.0942717,0.625,,,,,
7,545.0,1.2598935,0.53125,,,,,
7,546.0,0.9137503,0.6875,,,,,
7,547.0,0.6084964,0.78125,,,,,
7,548.0,0.9181367,0.71875,,,,,
7,549.0,1.4001093,0.59375,,,,,
7,550.0,1.6503222,0.5625,,,,,
7,551.0,1.4291583,0.65625,,,,,
7,552.0,0.5652244,0.78125,,,,,
7,553.0,0.839332,0.6875,,,,,
7,554.0,0.66970617,0.8125,,,,,
7,555.0,0.8744065,0.71875,,,,,
7,556.0,1.2754124,0.65625,,,,,
7,557.0,0.9878116,0.65625,,,,,
7,558.0,0.889354,0.6875,,,,,
7,559.0,0.94294786,0.71875,,,,,
7,560.0,1.1301267,0.59375,,,,,
7,561.0,0.9352747,0.65625,,,,,
7,562.0,0.8424348,0.6875,,,,,
7,563.0,0.57448995,0.75,,,,,
7,564.0,1.3017188,0.5625,,,,,
7,565.0,0.90309477,0.625,,,,,
7,566.0,1.0900722,0.59375,,,,,
7,567.0,1.4241661,0.59375,,,,,
7,568.0,0.7854455,0.6875,,,,,
7,569.0,1.3636937,0.40625,,,,,
7,570.0,0.9393035,0.625,,,,,
7,571.0,1.1068939,0.5625,,,,,
7,572.0,0.94926214,0.65625,,,,,
7,573.0,1.0440757,0.59375,,,,,
7,574.0,0.9240463,0.6875,,,,,
7,575.0,1.2793268,0.59375,,,,,
7,576.0,0.80992573,0.75,,,,,
7,577.0,1.2268883,0.59375,,,,,
7,578.0,0.8626378,0.71875,,,,,
7,579.0,1.033976,0.71875,,,,,
7,580.0,1.0541563,0.625,,,,,
7,581.0,1.003478,0.5625,,,,,
7,582.0,0.68079597,0.8125,,,,,
7,583.0,1.1795223,0.6875,,,,,
7,584.0,0.79073244,0.78125,,,,,
7,585.0,1.154891,0.59375,,,,,
7,586.0,1.0355574,0.625,,,,,
7,587.0,1.2105342,0.65625,,,,,
7,588.0,0.84607047,0.65625,,,,,
7,589.0,0.8803625,0.71875,,,,,
7,590.0,0.7744366,0.71875,,,,,
7,591.0,0.5985754,0.8125,,,,,
7,592.0,1.3591865,0.625,,,,,
7,593.0,0.6863107,0.75,,,,,
7,594.0,1.2643272,0.4583333333333333,,,,,
7,,,,1.42944,0.5694915254237288,0.6892182068571294,0.5729166666666666,0.5647949327807431
